match_id,date,home_team_id,away_team_id,home_score,away_score
1,2026-02-07,7,10,1,0
2,2026-01-05,10,8,0,3
3,2026-05-06,4,6,4,2
4,2026-04-20,2,4,2,3
5,2026-03-05,2,9,3,0
6,2026-02-24,9,8,1,5
7,2026-04-15,1,4,3,1
8,2026-02-21,1,8,1,2
9,2026-01-08,2,8,4,0
10,2026-01-26,9,2,1,2
11,2026-03-09,3,7,5,1
12,2026-03-31,2,5,4,0
13,2026-02-18,4,8,3,3
14,2026-02-09,9,3,2,3
15,2026-01-13,8,6,2,4
16,2026-01-13,6,9,4,4
17,2026-01-06,6,1,0,2
18,2026-03-09,2,10,2,1
19,2026-01-21,8,7,1,3
20,2026-02-28,8,3,3,1
21,2026-04-16,5,2,0,3
22,2026-02-02,10,4,2,5
23,2026-01-25,10,9,3,5
24,2026-02-17,3,7,5,5
25,2026-03-02,1,10,5,2
26,2026-01-13,4,7,2,3
27,2026-04-24,4,1,5,1
28,2026-03-02,2,9,4,4
29,2026-04-06,8,4,2,2
30,2026-04-14,5,3,2,0
31,2026-03-06,7,10,5,0
32,2026-01-26,6,7,3,4
33,2026-01-29,5,3,5,1
34,2026-02-22,4,5,3,2
35,2026-05-09,1,6,5,0
36,2026-02-13,8,4,0,2
37,2026-05-10,1,5,2,5
38,2026-02-16,6,8,4,3
39,2026-03-28,6,10,0,3
40,2026-05-01,3,4,0,0
41,2026-02-11,1,7,0,4
42,2026-01-30,9,8,3,5
43,2026-05-01,9,6,2,0
44,2026-02-24,8,5,0,1
45,2026-04-19,6,5,0,0
46,2026-02-15,2,4,2,2
47,2026-02-26,9,1,0,2
48,2026-01-05,10,8,2,0
49,2026-02-28,1,7,0,2
50,2026-01-11,10,3,4,0
51,2026-03-23,9,2,3,1
52,2026-02-18,5,1,4,1
53,2026-01-28,8,2,1,2
54,2026-01-26,6,4,4,1
55,2026-04-20,1,6,2,4
56,2026-04-23,1,2,0,5
57,2026-03-31,4,8,0,0
58,2026-04-19,4,7,2,1
59,2026-01-27,7,8,2,5
60,2026-01-01,6,9,1,2
61,2026-03-16,2,5,5,4
62,2026-04-10,2,6,1,5
63,2026-02-03,1,2,2,3
64,2026-03-12,8,7,1,2
65,2026-03-04,1,7,5,0
66,2026-01-23,2,8,4,5
67,2026-03-02,4,9,4,3
68,2026-01-18,1,9,5,2
69,2026-04-18,9,2,4,4
70,2026-04-24,8,9,0,2
71,2026-04-29,2,9,4,3
72,2026-04-23,8,4,2,5
73,2026-02-16,8,3,0,5
74,2026-04-14,8,3,2,3
75,2026-05-01,8,7,4,4
76,2026-02-22,1,10,4,3
77,2026-03-23,6,10,1,1
78,2026-04-18,10,6,4,2
79,2026-03-03,2,5,3,1
80,2026-04-06,5,10,1,0
81,2026-01-12,3,6,5,1
82,2026-02-13,9,4,1,4
83,2026-04-30,9,1,4,3
84,2026-04-05,3,5,0,5
85,2026-04-17,9,8,2,5
86,2026-03-26,8,4,3,5
87,2026-02-28,8,6,3,5
88,2026-02-21,10,7,2,1
89,2026-02-22,5,1,0,3
90,2026-03-09,7,4,3,3
91,2026-03-12,1,10,4,1
92,2026-03-15,3,6,2,5
93,2026-01-02,8,4,2,0
94,2026-02-09,4,5,4,0
95,2026-01-02,5,3,5,4
96,2026-04-19,6,7,2,5
97,2026-01-15,3,8,3,0
98,2026-03-08,6,10,0,0
99,2026-01-27,1,6,1,4
100,2026-02-10,3,8,5,0
