stat_id,player_id,match_id,goals,assists,minutes_played
1,72,1,1,1,77
2,150,1,2,1,72
3,109,1,0,2,77
4,41,1,2,2,72
5,83,1,1,2,90
6,39,1,1,2,69
7,114,1,1,0,60
8,100,1,1,0,65
9,148,1,1,0,72
11,71,2,0,0,77
12,14,2,2,0,81
13,114,2,2,1,60
14,6,2,1,1,82
15,143,2,2,1,66
16,32,2,1,2,68
17,119,2,0,1,79
18,148,2,2,1,62
19,90,2,2,2,85
20,115,2,1,2,87
21,85,3,0,2,86
22,40,3,0,2,67
23,8,3,1,0,72
24,76,3,1,0,75
25,36,3,0,2,77
26,107,3,0,2,87
27,100,3,0,1,88
28,61,3,0,2,61
29,3,3,2,0,77
30,46,3,2,2,84
31,13,4,1,0,85
32,54,4,2,2,79
33,122,4,1,0,68
34,31,4,2,0,64
35,137,4,1,2,61
36,64,4,1,0,83
37,6,4,0,1,64
38,27,4,1,0,82
39,19,4,0,2,64
40,20,4,2,1,85
41,115,5,0,2,72
42,90,5,0,2,67
43,139,5,2,1,90
44,148,5,2,1,62
45,31,5,0,0,75
46,15,5,0,2,60
47,132,5,1,0,88
48,133,5,0,1,87
49,29,5,2,0,81
50,150,5,0,1,89
51,97,6,1,1,72
52,28,6,1,2,67
53,111,6,1,0,81
54,19,6,1,0,74
55,92,6,2,2,68
56,70,6,2,0,64
58,89,6,1,2,62
59,75,6,2,2,79
60,101,6,1,1,88
61,146,7,0,0,65
62,144,7,0,0,64
63,124,7,1,0,87
64,75,7,0,2,83
65,142,7,1,1,66
66,67,7,2,1,70
67,83,7,2,2,88
68,66,7,2,0,76
69,102,7,2,0,68
70,48,7,0,2,81
71,4,8,2,1,78
72,83,8,0,2,60
73,130,8,2,1,65
74,51,8,2,0,90
75,89,8,0,2,69
76,7,8,2,2,76
77,74,8,1,2,78
78,67,8,0,1,88
79,110,8,1,1,84
80,106,8,2,1,89
81,98,9,1,2,88
82,107,9,1,2,63
83,135,9,0,1,86
84,70,9,1,1,66
85,23,9,1,2,73
86,84,9,2,0,70
88,88,9,0,0,85
89,72,9,0,1,75
90,59,9,2,0,62
91,122,10,0,0,85
92,82,10,0,0,87
93,8,10,0,2,70
94,43,10,0,0,63
95,12,10,2,0,80
96,98,10,1,0,81
97,57,10,2,2,79
98,61,10,0,2,70
99,2,10,2,2,76
100,125,10,2,1,82
101,15,11,1,0,71
102,131,11,1,0,80
103,150,11,1,1,63
104,69,11,0,0,75
105,140,11,2,1,90
106,46,11,1,2,60
107,53,11,0,0,65
108,2,11,0,1,71
109,51,11,1,1,88
110,52,11,0,1,67
111,146,12,1,0,62
112,121,12,2,0,65
113,75,12,1,1,68
114,105,12,1,2,65
115,71,12,0,2,64
116,44,12,1,1,84
117,150,12,2,1,79
118,24,12,2,0,88
120,125,12,1,1,73
121,83,13,0,0,62
122,135,13,2,1,80
123,79,13,0,0,75
124,20,13,1,0,67
125,10,13,1,1,62
126,84,13,0,0,74
127,113,13,0,0,70
128,81,13,0,1,80
129,149,13,2,0,80
130,108,13,1,2,85
131,60,14,1,1,75
132,142,14,1,0,70
133,122,14,0,0,64
134,139,14,0,2,62
135,81,14,0,0,90
136,6,14,0,2,86
137,72,14,2,1,84
138,34,14,1,1,81
139,91,14,1,2,84
140,46,14,1,1,72
141,150,15,2,2,80
142,68,15,0,0,83
143,115,15,1,1,88
144,105,15,2,2,81
145,44,15,0,1,88
147,3,15,0,0,77
148,54,15,1,0,75
149,38,15,1,2,78
150,35,15,0,2,72
151,21,16,0,1,85
152,87,16,1,2,81
153,31,16,0,1,86
154,80,16,0,0,67
155,72,16,1,0,68
157,146,16,0,0,62
158,147,16,1,2,69
159,70,16,0,0,73
160,122,16,1,1,64
161,28,17,2,2,66
162,46,17,0,1,62
163,66,17,2,0,86
164,138,17,1,1,88
165,139,17,1,0,83
166,22,17,1,0,64
167,96,17,1,0,65
168,61,17,2,2,62
169,97,17,2,1,89
170,103,17,0,2,79
171,98,18,2,1,83
172,120,18,0,0,79
173,148,18,1,1,67
174,90,18,0,2,72
175,56,18,1,0,64
176,105,18,0,0,89
177,23,18,0,2,84
178,49,18,0,0,90
179,26,18,1,0,84
180,135,18,2,1,82
181,39,19,1,2,87
182,108,19,2,0,69
183,25,19,2,0,83
184,75,19,1,0,76
185,14,19,2,2,75
186,78,19,2,2,90
187,27,19,0,1,87
